zip,lat,lng,city,state_id,state_name,county_name
12025,43.0833,-74.13600000000001,Broadalbin,NY,New York,Fulton
12031,42.76477,-74.4569,Carlisle,NY,New York,Schoharie
12064,42.614340000000006,-74.65729,East Worcester,NY,New York,Otsego
12108,43.57407,-74.44934,Lake Pleasant,NY,New York,Hamilton
12167,42.420759999999994,-74.58407,Stamford,NY,New York,Delaware
12401,41.93558,-74.05278,Kingston,NY,New York,Ulster
12501,41.85964,-73.55856999999999,Amenia,NY,New York,Dutchess
12901,44.70382,-73.47381999999999,Plattsburgh,NY,New York,Clinton
12922,44.28808,-74.71793000000001,Childwold,NY,New York,St. Lawrence
13020,42.81647,-76.07455,Apulia Station,NY,New York,Onondaga
13021,42.923790000000004,-76.55886,Auburn,NY,New York,Cayuga
13028,43.2969,-75.93471,Bernhards Bay,NY,New York,Oswego
13030,43.15504,-75.96070999999999,Bridgeport,NY,New York,Madison
13040,42.56139,-75.93225,Cincinnatus,NY,New York,Cortland
13053,42.47462,-76.26598,Dryden,NY,New York,Tompkins
13054,43.17083,-75.67213000000001,Durhamville,NY,New York,Oneida
13124,42.64605,-75.81796,North Pitcher,NY,New York,Chenango
13143,43.233259999999994,-76.71529,Red Creek,NY,New York,Wayne
13148,42.914640000000006,-76.7847,Seneca Falls,NY,New York,Seneca
13305,43.89223,-75.42124,Beaver Falls,NY,New York,Lewis
13324,43.326209999999996,-74.95408,Cold Brook,NY,New York,Herkimer
13601,43.968379999999996,-75.90673000000001,Watertown,NY,New York,Jefferson
13732,42.044129999999996,-76.168,Apalachin,NY,New York,Tioga
13744,42.23865,-75.90912,Castle Creek,NY,New York,Broome
14001,43.032959999999996,-78.51205,Akron,NY,New York,Erie
14005,42.916940000000004,-78.2503,Alexander,NY,New York,Genesee
14008,43.31174,-78.62669,Appleton,NY,New York,Niagara
14009,42.57462,-78.39319,Arcade,NY,New York,Wyoming
14041,42.40358,-78.97358,Dayton,NY,New York,Cattaraugus
14048,42.48052,-79.31161,Dunkirk,NY,New York,Chautauqua
14414,42.89349,-77.73514,Avon,NY,New York,Livingston
14415,42.75548,-77.01708,Bellona,NY,New York,Yates
14420,43.211999999999996,-77.93455,Brockport,NY,New York,Monroe
14424,42.84815,-77.30818000000001,Canandaigua,NY,New York,Ontario
14529,42.539970000000004,-77.63825,Perkinsville,NY,New York,Steuben
14707,42.07738,-78.0605,Allentown,NY,New York,Allegany
14805,42.35884,-76.72417,Alpine,NY,New York,Schuyler
14814,42.15003,-76.95274,Big Flats,NY,New York,Chemung
15001,40.59209,-80.31976,Aliquippa,PA,Pennsylvania,Beaver
15006,40.63357,-79.87680999999999,Bairdford,PA,Pennsylvania,Allegheny
15012,40.15883,-79.81218,Belle Vernon,PA,Pennsylvania,Westmoreland
15401,39.90108,-79.74724,Uniontown,PA,Pennsylvania,Fayette
15521,40.19912,-78.635,Alum Bank,PA,Pennsylvania,Bedford
15673,40.5938,-79.5563,North Apollo,PA,Pennsylvania,Armstrong
15681,40.50095,-79.43852,Saltsburg,PA,Pennsylvania,Indiana
15714,40.64535,-78.82308,Northern Cambria,PA,Pennsylvania,Cambria
15721,40.81462,-78.79247,Burnside,PA,Pennsylvania,Clearfield
15821,41.35537,-78.36769,Benezett,PA,Pennsylvania,Elk
15832,41.35637,-78.19169000000001,Driftwood,PA,Pennsylvania,Cameron
16001,40.9095,-79.9438,Butler,PA,Pennsylvania,Butler
16028,40.95792,-79.63701999999999,East Brady,PA,Pennsylvania,Clarion
16101,40.98532,-80.28716,New Castle,PA,Pennsylvania,Lawrence
16110,41.50609,-80.3849,Adamsville,PA,Pennsylvania,Crawford
16217,41.33655,-79.18477,Cooksburg,PA,Pennsylvania,Forest
16301,41.45555,-79.6353,Oil City,PA,Pennsylvania,Venango
16333,41.70345,-78.92856,Ludlow,PA,Pennsylvania,McKean
16601,40.555659999999996,-78.37018,Altoona,PA,Pennsylvania,Blair
16611,40.5674,-78.10768,Alexandria,PA,Pennsylvania,Huntingdon
16677,40.811809999999994,-78.24365999999999,Sandy Ridge,PA,Pennsylvania,Centre
16720,41.5841,-78.03707,Austin,PA,Pennsylvania,Potter
16914,41.86377,-76.78241,Columbia Cross Roads,PA,Pennsylvania,Bradford
17002,40.50755,-77.83922,Allensville,PA,Pennsylvania,Mifflin
17003,40.36394,-76.5649,Annville,PA,Pennsylvania,Lebanon
17005,40.60285,-76.80968,Berrysburg,PA,Pennsylvania,Dauphin
17006,40.28559,-77.54373000000001,Blain,PA,Pennsylvania,Perry
17017,40.64332,-76.88259000000001,Dalmatia,PA,Pennsylvania,Northumberland
17021,40.33957,-77.65933000000001,East Waterford,PA,Pennsylvania,Juniata
17022,40.16632,-76.60866999999999,Elizabethtown,PA,Pennsylvania,Lancaster
17301,39.89062,-76.9803,Abbottstown,PA,Pennsylvania,Adams
17701,41.33749,-76.90231999999999,Williamsport,PA,Pennsylvania,Lycoming
17812,40.74069,-77.22815,Beaver Springs,PA,Pennsylvania,Snyder
17821,40.98871,-76.63927,Danville,PA,Pennsylvania,Montour
17901,40.69364,-76.25520999999999,Pottsville,PA,Pennsylvania,Schuylkill
18011,40.47124,-75.64643000000001,Alburtis,PA,Pennsylvania,Lehigh
18013,40.85301,-75.17174,Bangor,PA,Pennsylvania,Northampton
18030,40.80223,-75.66404,Bowmanstown,PA,Pennsylvania,Carbon
18056,40.4491,-75.54912,Hereford,PA,Pennsylvania,Berks
18077,40.56687,-75.2435,Riegelsville,PA,Pennsylvania,Bucks
18201,40.948879999999996,-75.95625,Hazleton,PA,Pennsylvania,Luzerne
18324,41.15197,-75.00303000000001,Bushkill,PA,Pennsylvania,Pike
18403,41.50042,-75.52959,Archbald,PA,Pennsylvania,Lackawanna
18413,41.64816,-75.58949,Clifford,PA,Pennsylvania,Susquehanna
19087,40.06116,-75.39986999999999,Wayne,PA,Pennsylvania,Chester
19102,39.952870000000004,-75.16549,Philadelphia,PA,Pennsylvania,Philadelphia
19701,39.58435,-75.69939000000001,Bear,DE,Delaware,New Castle
20105,38.96273,-77.61001999999999,Aldie,VA,Virginia,Loudoun
20106,38.68699,-78.01175,Amissville,VA,Virginia,Culpeper
20109,38.79282,-77.52658000000001,Manassas,VA,Virginia,Prince William
20110,38.74711,-77.48591,Manassas,VA,Virginia,Manassas
20115,38.82155,-77.9001,Marshall,VA,Virginia,Fauquier
20120,38.85433,-77.47715,Centreville,VA,Virginia,Fairfax
20130,39.02747,-77.9491,Paris,VA,Virginia,Clarke
20601,38.6137,-76.85088,Waldorf,MD,Maryland,Charles
20606,38.25952,-76.73699,Abell,MD,Maryland,St. Mary's
20607,38.672270000000005,-77.02018000000001,Accokeek,MD,Maryland,Prince George's
20615,38.42013,-76.54786,Broomes Island,MD,Maryland,Calvert
20701,39.12627,-76.78423000000001,Annapolis Junction,MD,Maryland,Howard
20711,38.80509,-76.65199,Lothian,MD,Maryland,Anne Arundel
21001,39.51073,-76.2006,Aberdeen,MD,Maryland,Harford
21013,39.50906,-76.48647,Baldwin,MD,Maryland,Baltimore
21520,39.62474,-79.3015,Accident,MD,Maryland,Garrett
21601,38.79377,-76.08178000000001,Easton,MD,Maryland,Talbot
21607,39.13272,-75.85418,Barclay,MD,Maryland,Queen Anne's
21613,38.49315,-76.07341,Cambridge,MD,Maryland,Dorchester
21629,38.86273,-75.82791999999999,Denton,MD,Maryland,Caroline
21701,39.44605,-77.33495,Frederick,MD,Maryland,Frederick
21801,38.38055,-75.64148,Salisbury,MD,Maryland,Wicomico
21901,39.58572,-75.95843,North East,MD,Maryland,Cecil
22046,38.88711,-77.18075999999999,Falls Church,VA,Virginia,Falls Church
22201,38.88665,-77.09518,Arlington,VA,Virginia,Arlington
22301,38.82002,-77.05960999999999,Alexandria,VA,Virginia,Alexandria
22401,38.29918,-77.48713000000001,Fredericksburg,VA,Virginia,Fredericksburg
22405,38.31521,-77.40371,Fredericksburg,VA,Virginia,Stafford
22407,38.2834,-77.57529,Fredericksburg,VA,Virginia,Spotsylvania
22448,38.3405,-77.03217,Dahlgren,VA,Virginia,King George
22601,39.17472,-78.17353,Winchester,VA,Virginia,Winchester
22623,38.85156,-78.13736999999999,Chester Gap,VA,Virginia,Rappahannock
22641,39.08061,-78.39151,Strasburg,VA,Virginia,Shenandoah
22650,38.759570000000004,-78.35993,Rileyville,VA,Virginia,Page
22801,38.40459,-78.87716,Harrisonburg,VA,Virginia,Harrisonburg
22843,38.368520000000004,-79.16038,Mount Solon,VA,Virginia,Augusta
22901,38.088440000000006,-78.55617,Charlottesville,VA,Virginia,Albemarle
22902,37.95389,-78.46996999999999,Charlottesville,VA,Virginia,Charlottesville
22920,37.97724,-78.81071,Afton,VA,Virginia,Nelson
22942,38.10968,-78.19864,Gordonsville,VA,Virginia,Louisa
22963,37.84921,-78.28843,Palmyra,VA,Virginia,Fluvanna
22980,38.09565,-78.88513,Waynesboro,VA,Virginia,Waynesboro
23002,37.35065,-77.96876999999999,Amelia Court House,VA,Virginia,Amelia
23004,37.68225,-78.40866,Arvonia,VA,Virginia,Buckingham
23005,37.75956,-77.48221,Ashland,VA,Virginia,Hanover
23009,37.81386,-77.18737,Aylett,VA,Virginia,King William
23011,37.47681,-76.80954,Barhamsville,VA,Virginia,New Kent
23021,37.39782,-76.37016,Bohannon,VA,Virginia,Mathews
23023,37.778659999999995,-76.95957,Bruington,VA,Virginia,King and Queen
23030,37.346270000000004,-77.05928,Charles City,VA,Virginia,Charles City
23038,37.75544,-78.14779,Columbia,VA,Virginia,Goochland
23059,37.704879999999996,-77.56251,Glen Allen,VA,Virginia,Henrico
23112,37.434979999999996,-77.66207,Midlothian,VA,Virginia,Chesterfield
23139,37.54972,-77.93374,Powhatan,VA,Virginia,Powhatan
23168,37.39997,-76.82728,Toano,VA,Virginia,James City
23187,37.26743,-76.72078,Williamsburg,VA,Virginia,Williamsburg
23301,37.68333,-75.63618000000001,Accomac,VA,Virginia,Accomack
23304,36.9961,-76.57063000000001,Battery Park,VA,Virginia,Isle of Wight
23320,36.75193,-76.2183,Chesapeake,VA,Virginia,Chesapeake
23451,36.86739,-76.00587,Virginia Beach,VA,Virginia,Virginia Beach
