,winery_search_term,latitude,longitude,number_of_results,status
104,Parallel winery US,44.4033337,-87.6644918,1,OK
105,Ventisquero winery Chile,-34.6170546,-71.2511025,1,OK
106,Aquinas winery US,38.6965385,-91.4464771,1,OK
107,,,,0,ZERO_RESULTS
108,Buried Cane winery US,36.1049162,-86.8646954,1,OK
109,Cramele Recas winery Romania,45.799246,21.5055689,1,OK
110,Domaine Bertagna winery France,47.1759344,4.963435899999999,1,OK
111,Otto's Constant Dream winery New Zealand,35.5155906,-82.52705379999999,1,OK
112,Mount Veeder winery US,36.1516135,-86.7844824,1,OK
113,Robert Mondavi winery US,38.4412684,-122.4098023,1,OK
114,Aresti winery Chile,-35.1506759,-71.2991851,1,OK
115,J. & F. Lurton winery Chile,-34.7291192,-71.5925413,1,OK
116,De Martino winery Chile,-33.753006,-70.896488,1,OK
117,Koyle winery Chile,-34.5357571,-70.9792445,1,OK
118,Château Notre Dame du Quatourze winery France,43.15952,2.999774,1,OK
119,Mémoires winery France,44.58378,-0.247037,1,OK
120,,,,0,ZERO_RESULTS
121,Viña Tarapacá winery Chile,-33.7695679,-70.92688609999999,1,OK
122,Robert Weil winery Germany,50.04105000000001,8.08603,1,OK
123,Rochioli winery US,38.53513299999999,-122.8672549,1,OK
124,Louis Latour winery France,47.0240114,4.8404783,1,OK
125,Château de la Tour winery France,47.1769184,4.9630605,1,OK
126,Weingut Hans Bausch winery Germany,50.0211791,8.0511643,1,OK
127,Philippe Colin winery France,46.9277443,4.7401848,1,OK
128,J. Davies winery US,38.4983541,-122.4622424,1,OK
129,Winderlea winery US,45.2790245,-123.0430754,1,OK
130,Ronco del Gelso winery Italy,45.949304,13.4774169,1,OK
131,Sebastiani winery US,38.29323189999999,-122.4494171,1,OK
132,Elena Walch winery Italy,46.3385258,11.2385953,1,OK
133,Borgo Conventi winery Italy,45.91355120000001,13.5278317,1,OK
134,Ceago Vinegarden winery US,39.1085498,-122.816065,1,OK
135,Lapostolle winery Chile,-34.63976540000001,-71.312563,1,OK
136,Carmen winery Chile,-33.7715211,-71.10705519999999,1,OK
137,Tommasi winery Italy,45.5052189,10.9173941,1,OK
138,Vinoce winery US,38.2859369,-122.2863383,1,OK
139,Merriam winery US,38.5785591,-122.8367895,1,OK
140,,,,0,ZERO_RESULTS
141,Kynsi winery US,35.1897888,-120.5815658,1,OK
142,,,,0,ZERO_RESULTS
